trial,word,list,assessment,identification
1,ticket,read,correct,identification
2,shoulder,read,correct,identification
3,minute,silent,correct,identification
4,account,read,correct,identification
5,foundation,distract,correct,rejection
6,garden,distract,correct,rejection
7,winter,distract,correct,rejection
8,wagon,silent,correct,identification
9,merchant,distract,correct,rejection
10,education,silent,false,rejection
11,package,read,false,rejection
12,machine,silent,false,rejection
13,furniture,read,correct,identification
14,election,read,false,rejection
15,laugh,distract,correct,rejection
16,partner,distract,correct,rejection
17,clothes,distract,correct,rejection
18,industry,distract,correct,rejection
19,capital,distract,correct,rejection
20,theatre,silent,correct,identification
21,address,read,correct,identification
22,dinner,distract,correct,rejection
23,century,silent,false,rejection
24,stream,distract,false,identification
25,branch,silent,false,rejection
26,village,silent,false,rejection
27,history,silent,false,rejection
28,forest,silent,correct,identification
29,ocean,read,correct,identification
30,beauty,distract,correct,rejection
31,school,distract,correct,rejection
32,answer,read,false,rejection
33,entrance,distract,correct,rejection
34,queen,distract,correct,rejection
35,kettle,distract,correct,rejection
36,vacation,distract,correct,rejection
37,powder,read,correct,identification
38,resort,distract,correct,rejection
39,market,distract,correct,rejection
40,glass,distract,correct,rejection
Participant gender:['f']
