trial,word,list,assessment,identification
1,victory,read,correct,identification
2,powder,read,correct,identification
3,pocket,silent,correct,identification
4,capital,distract,correct,rejection
5,amount,silent,false,rejection
6,ticket,read,correct,identification
7,package,read,correct,identification
8,furniture,read,correct,identification
9,century,silent,false,rejection
10,industry,distract,correct,rejection
11,vacation,distract,correct,rejection
12,direction,silent,false,rejection
13,entrance,distract,correct,rejection
14,resort,distract,correct,rejection
15,stream,distract,correct,rejection
16,machine,silent,false,rejection
17,shoulder,read,correct,identification
18,winter,distract,correct,rejection
19,merchant,distract,correct,rejection
20,dinner,distract,correct,rejection
21,branch,silent,false,rejection
22,foundation,distract,correct,rejection
23,address,read,correct,identification
24,clothes,distract,correct,rejection
25,factory,silent,correct,identification
26,queen,distract,correct,rejection
27,ocean,read,correct,identification
28,trousers,read,correct,identification
29,market,distract,correct,rejection
30,station,silent,false,rejection
31,kettle,distract,correct,rejection
32,wagon,silent,correct,identification
33,wheel,read,correct,identification
34,partner,distract,false,identification
35,laugh,distract,correct,rejection
36,education,silent,false,rejection
37,glass,distract,false,identification
38,school,distract,correct,rejection
39,beauty,distract,correct,rejection
40,garden,distract,correct,rejection
Participant gender:['m']
