trial,word,list,assessment,identification
1,market,distract,correct,rejection
2,queen,distract,correct,rejection
3,minute,silent,false,rejection
4,beauty,distract,correct,rejection
5,stream,distract,correct,rejection
6,account,read,correct,identification
7,quarrel,read,correct,identification
8,garden,distract,correct,rejection
9,kettle,distract,correct,rejection
10,glass,distract,correct,rejection
11,afternoon,read,false,rejection
12,foundation,distract,correct,rejection
13,partner,distract,false,identification
14,history,silent,correct,identification
15,village,silent,correct,identification
16,capital,distract,correct,rejection
17,victory,read,correct,identification
18,clothes,distract,false,identification
19,debate,read,correct,identification
20,resort,distract,correct,rejection
21,laugh,distract,correct,rejection
22,teacher,read,correct,identification
23,answer,read,correct,identification
24,winter,distract,correct,rejection
25,industry,distract,false,identification
26,school,distract,false,identification
27,lesson,silent,correct,identification
28,vacation,distract,correct,rejection
29,package,read,correct,identification
30,amount,silent,correct,identification
31,ticket,read,correct,identification
32,dinner,distract,correct,rejection
33,merchant,distract,correct,rejection
34,century,silent,correct,identification
35,invention,silent,correct,identification
36,station,silent,correct,identification
37,judge,read,correct,identification
38,leather,silent,correct,identification
39,entrance,distract,correct,rejection
40,factory,silent,correct,identification
Participant gender:['m']
