trial,word,list,assessment,identification
1,resort,distract,correct,rejection
2,debate,read,correct,identification
3,trousers,read,correct,identification
4,market,distract,correct,rejection
5,foundation,distract,correct,rejection
6,direction,silent,correct,identification
7,theatre,silent,correct,identification
8,ocean,read,correct,identification
9,merchant,distract,correct,rejection
10,stream,distract,correct,rejection
11,ticket,read,correct,identification
12,leather,silent,correct,identification
13,school,distract,correct,rejection
14,garden,distract,correct,rejection
15,winter,distract,correct,rejection
16,vacation,distract,correct,rejection
17,shoulder,read,correct,identification
18,capital,distract,correct,rejection
19,entrance,distract,correct,rejection
20,lesson,silent,correct,identification
21,powder,read,correct,identification
22,queen,distract,correct,rejection
23,partner,distract,correct,rejection
24,village,silent,correct,identification
25,factory,silent,correct,identification
26,invention,silent,false,rejection
27,record,silent,correct,identification
28,dinner,distract,correct,rejection
29,industry,distract,correct,rejection
30,uniform,read,correct,identification
31,glass,distract,correct,rejection
32,laugh,distract,correct,rejection
33,beauty,distract,correct,rejection
34,kettle,distract,correct,rejection
35,forest,silent,correct,identification
36,teacher,read,correct,identification
37,answer,read,correct,identification
38,package,read,correct,identification
39,pocket,silent,correct,identification
40,clothes,distract,correct,rejection
Participant gender:['f'],,,,
