trial,word,list,assessment,identification
1,election,read,correct,identification
2,foundation,distract,correct,rejection
3,garden,distract,correct,rejection
4,answer,read,correct,identification
5,amount,silent,correct,identification
6,winter,distract,correct,rejection
7,teacher,read,correct,identification
8,beauty,distract,correct,rejection
9,account,read,correct,identification
10,glass,distract,correct,rejection
11,stream,distract,correct,rejection
12,laugh,distract,correct,rejection
13,address,read,correct,identification
14,entrance,distract,correct,rejection
15,clothes,distract,correct,rejection
16,queen,distract,correct,rejection
17,uniform,read,correct,identification
18,vacation,distract,false,identification
19,dinner,distract,correct,rejection
20,minute,silent,false,rejection
21,industry,distract,correct,rejection
22,education,silent,correct,identification
23,resort,distract,false,identification
24,capital,distract,correct,rejection
25,partner,distract,false,identification
26,market,distract,correct,rejection
27,branch,silent,correct,identification
28,package,read,correct,identification
29,merchant,distract,false,identification
30,village,silent,correct,identification
31,shoulder,read,correct,identification
32,leather,silent,false,rejection
33,direction,silent,correct,identification
34,kettle,distract,correct,rejection
35,ticket,read,correct,identification
36,powder,read,correct,identification
37,station,silent,correct,identification
38,wagon,silent,correct,identification
39,school,distract,correct,rejection
40,theatre,silent,false,rejection
Participant gender:['m'],,,,
